"Kennziffer","Einheit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Bevölkerung insgesamt","","479996","479457","481390","484121","485643","489335","494771","497791","502401","505559","508775","517838","528540","539348","551871","567846","579530","590337","596517"
"Männer","","229893","229775","230863","232492","232778","234727","237490","239241","241824","243484","244883","250013","256272","262336","269544","279052","285870","291180","294231"
"Frauen","","250103","249682","250527","251629","252865","254608","257281","258550","260577","262075","263892","267825","272268","277012","282327","288794","293660","299157","302286"
"Deutsche","","457899","455911","455863","457396","460240","462909","467888","470141","474224","478591","483894","491166","498881","506494","514480","521817","527669","534326","537896"
"Männer","","214911","214257","214529","215729","217547","219114","222032","223525","225909","228490","231490","235546","239899","244127","248645","252723","256072","259303","261154"
"Frauen","","242988","241654","241334","241667","242693","243795","245856","246616","248315","250101","252404","255620","258982","262367","265835","269094","271597","275023","276742"
"Ausländer","","22097","23546","25527","26725","25403","26426","26883","27650","28177","26968","24881","26672","29659","32854","37391","46029","51861","56011","58621"
"Männer","","14982","15518","16334","16763","15231","15613","15458","15716","15915","14994","13393","14467","16373","18209","20899","26329","29798","31877","33077"
"Frauen","","7115","8028","9193","9962","10172","10813","11425","11934","12262","11974","11488","12205","13286","14645","16492","19700","22063","24134","25544"
"Bevölkerung insgesamt","","518182","519420","522073","525161","527461","528156","520513","515461","519659","521917","524160","529543","539378","549399","561015","576937","588621","595952","601737"
"Männer","","247994","248719","250137","251975","252629","253392","249987","247853","250279","251509","252591","255828","261688","267447","274287","283847","290688","294423","297304"
"Frauen","","270188","270701","271936","273186","274832","274764","270526","267608","269380","270408","271569","273715","277690","281952","286728","293090","297933","301529","304433"
"Deutsche","","495442","495183","495916","497790","501439","501099","493097","487471","491185","494688","499046","502678","509516","516339","523442","530700","536520","539755","542945"
"Männer","","232625","232785","233424","234823","237025","237402","234215","231946","234189","236375","239065","241253","245204","249116","253289","257394","260764","262446","264136"
"Frauen","","262817","262398","262492","262967","264414","263697","258882","255525","256996","258313","259981","261425","264312","267223","270153","273306","275756","277309","278809"
"Ausländer","","22740","24237","26157","27371","26022","27057","27416","27990","28474","27229","25114","26865","29862","33060","37573","46237","52101","56197","58792"
"Männer","","15369","15934","16713","17152","15604","15990","15772","15907","16090","15134","13526","14575","16484","18331","20998","26453","29924","31977","33168"
"Frauen","","7371","8303","9444","10219","10418","11067","11644","12083","12384","12095","11588","12290","13378","14729","16575","19784","22177","24220","25624"
